时间 - B,Voltage [V] - B
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.141205
27:44.7,0.143133
27:44.7,0.142812
27:44.7,0.14474
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.143454
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141848
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.143454
27:44.7,0.142169
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.141526
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.140562
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.141848
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141848
27:44.7,0.142812
27:44.7,0.141205
27:44.7,0.143454
27:44.7,0.142812
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.14474
27:44.7,0.14249
27:44.7,0.144418
27:44.7,0.142169
27:44.7,0.143133
27:44.7,0.141526
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.141526
27:44.7,0.142812
27:44.7,0.142169
27:44.7,0.143776
27:44.7,0.143454
27:44.7,0.145061
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.141848
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.141526
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.143776
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.141848
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141205
27:44.7,0.141526
27:44.7,0.141526
27:44.7,0.144097
27:44.7,0.143776
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.141205
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141848
27:44.7,0.14249
27:44.7,0.140884
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141526
27:44.7,0.141526
27:44.7,0.14249
27:44.7,0.145061
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.140884
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.145061
27:44.7,0.14249
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.141848
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.144097
27:44.7,0.143776
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.140884
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.141205
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.145061
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.14249
27:44.7,0.143454
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.142812
27:44.7,0.142169
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141526
27:44.7,0.141526
27:44.7,0.140884
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141848
27:44.7,0.142169
27:44.7,0.141526
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.143454
27:44.7,0.141526
27:44.7,0.143133
27:44.7,0.14249
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.142169
27:44.7,0.143454
27:44.7,0.141526
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.140884
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.143454
27:44.7,0.142169
27:44.7,0.143133
27:44.7,0.140884
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.140884
27:44.7,0.141205
27:44.7,0.141848
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.141848
27:44.7,0.141848
27:44.7,0.141205
27:44.7,0.143776
27:44.7,0.143776
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.14249
27:44.7,0.140884
27:44.7,0.143454
27:44.7,0.143454
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.141848
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.141205
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141848
27:44.7,0.141848
27:44.7,0.141526
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.141205
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.143776
27:44.7,0.144097
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.144418
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.142169
27:44.7,0.141205
27:44.7,0.143133
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.140884
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.143454
27:44.7,0.140562
27:44.7,0.141526
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.14249
27:44.7,0.143776
27:44.7,0.143454
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.143776
27:44.7,0.143454
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142169
27:44.7,0.142169
27:44.7,0.141848
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.141526
27:44.7,0.14249
27:44.7,0.140884
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.140241
27:44.7,0.143776
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.140884
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.143454
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.141848
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.143133
27:44.7,0.143133
27:44.7,0.145061
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.140884
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.14249
27:44.7,0.144418
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.141848
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141848
27:44.7,0.141526
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.141848
27:44.7,0.142169
27:44.7,0.141848
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.144097
27:44.7,0.141848
27:44.7,0.141848
27:44.7,0.140884
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.142169
27:44.7,0.142812
27:44.7,0.141205
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.143454
27:44.7,0.143776
27:44.7,0.141526
27:44.7,0.142812
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.14474
27:44.7,0.14249
27:44.7,0.143133
27:44.7,0.141205
27:44.7,0.142812
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.141848
27:44.7,0.141848
27:44.7,0.14249
27:44.7,0.144097
27:44.7,0.143454
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141848
27:44.7,0.141848
27:44.7,0.141526
27:44.7,0.145061
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.142169
27:44.7,0.143133
27:44.7,0.142169
27:44.7,0.144418
27:44.7,0.143776
27:44.7,0.145061
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.141848
27:44.7,0.14249
27:44.7,0.141848
27:44.7,0.145061
27:44.7,0.144097
27:44.7,0.144418
27:44.7,0.143454
27:44.7,0.14474
27:44.7,0.143133
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.14474
27:44.7,0.144418
27:44.7,0.145061
27:44.7,0.145061
27:44.7,0.145061
27:44.7,0.14474
27:44.7,0.143454
27:44.7,0.145061
27:44.7,0.143133
27:44.7,0.14474
27:44.7,0.144097
27:44.7,0.147632
27:44.7,0.14474
27:44.7,0.146025
27:44.7,0.143776
27:44.7,0.146346
27:44.7,0.143133
27:44.7,0.14956
27:44.7,0.144418
27:44.7,0.146989
27:44.7,0.146989
27:44.7,0.14956
27:44.7,0.14249
27:44.7,0.147953
27:44.7,0.146025
27:44.7,0.147632
27:44.7,0.144097
27:44.7,0.154701
27:44.7,0.145061
27:44.7,0.153416
27:44.7,0.146025
27:44.7,0.149238
27:44.7,0.148917
27:44.7,0.148596
27:44.7,0.154058
27:44.7,0.157593
27:44.7,0.150524
27:44.7,0.15438
27:44.7,0.147953
27:44.7,0.162092
27:44.7,0.146668
27:44.7,0.167876
27:44.7,0.146989
27:44.7,0.164663
27:44.7,0.149238
27:44.7,0.176231
27:44.7,0.143776
27:44.7,0.154701
27:44.7,0.161771
27:44.7,0.186514
27:44.7,0.151166
27:44.7,0.184586
27:44.7,0.147632
27:44.7,0.191012
27:44.7,0.147632
27:44.7,0.198082
27:44.7,0.155344
27:44.7,0.187478
27:44.7,0.177516
27:44.7,0.206758
27:44.7,0.148917
27:44.7,0.184586
27:44.7,0.157272
27:44.7,0.168519
27:44.7,0.150524
27:44.7,0.176552
27:44.7,0.15438
27:44.7,0.179444
27:44.7,0.157272
27:44.7,0.175588
27:44.7,0.150845
27:44.7,0.171089
27:44.7,0.149881
27:44.7,0.154058
27:44.7,0.147953
27:44.7,0.14956
27:44.7,0.145382
27:44.7,0.14731
27:44.7,0.143133
27:44.7,0.143454
27:44.7,0.141526
27:44.7,0.14249
27:44.7,0.142169
27:44.7,0.14474
27:44.7,0.141848
27:44.7,0.144418
27:44.7,0.143454
27:44.7,0.143454
27:44.7,0.141848
27:44.7,0.142169
27:44.7,0.141526
27:44.7,0.14474
27:44.7,0.142169
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.14474
27:44.7,0.142169
27:44.7,0.14249
27:44.7,0.140884
27:44.7,0.143776
27:44.7,0.14249
27:44.7,0.145061
27:44.7,0.14249
27:44.7,0.144418
27:44.7,0.141848
27:44.7,0.14249
27:44.7,0.140562
27:44.7,0.144097
27:44.7,0.143133
27:44.7,0.144097
27:44.7,0.14249
27:44.7,0.144097
27:44.7,0.142169
27:44.7,0.143133
27:44.7,0.140884
27:44.7,0.143133
27:44.7,0.14249
27:44.7,0.144418
27:44.7,0.142812
27:44.7,0.144418
27:44.7,0.142169
27:44.7,0.143133
27:44.7,0.141526
27:44.7,0.143776
27:44.7,0.142169
27:44.7,0.144418
27:44.7,0.143133
27:44.7,0.144418
27:44.7,0.14249
27:44.7,0.143454
27:44.7,0.140884
27:44.7,0.14249
27:44.7,0.142812
27:44.7,0.144097
27:44.7,0.142812
27:44.7,0.143776
27:44.7,0.142812
27:44.7,0.143454
27:44.7,0.141205
27:44.7,0.142169
27:44.7,0.141848
27:44.7,0.14474
27:44.7,0.143454
27:44.7,0.143776
27:44.7,0.142169
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.141848
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.142169
27:44.8,0.141526
27:44.8,0.14474
27:44.8,0.143454
27:44.8,0.14474
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.140562
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142169
27:44.8,0.143133
27:44.8,0.140884
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.14474
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.14249
27:44.8,0.142812
27:44.8,0.141205
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.143454
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.142812
27:44.8,0.141205
27:44.8,0.142812
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.143454
27:44.8,0.143776
27:44.8,0.143133
27:44.8,0.14249
27:44.8,0.141526
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.143133
27:44.8,0.141526
27:44.8,0.141848
27:44.8,0.14249
27:44.8,0.14474
27:44.8,0.143454
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.142169
27:44.8,0.142169
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.14249
27:44.8,0.141526
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.141848
27:44.8,0.141848
27:44.8,0.140884
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.140562
27:44.8,0.143454
27:44.8,0.142812
27:44.8,0.14474
27:44.8,0.14249
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.143454
27:44.8,0.140884
27:44.8,0.143133
27:44.8,0.14249
27:44.8,0.145061
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142169
27:44.8,0.143454
27:44.8,0.140884
27:44.8,0.143133
27:44.8,0.142169
27:44.8,0.14474
27:44.8,0.142169
27:44.8,0.144418
27:44.8,0.142169
27:44.8,0.14249
27:44.8,0.140884
27:44.8,0.143776
27:44.8,0.142169
27:44.8,0.14474
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.140884
27:44.8,0.142812
27:44.8,0.14249
27:44.8,0.145061
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142169
27:44.8,0.143133
27:44.8,0.140562
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.143776
27:44.8,0.141205
27:44.8,0.14249
27:44.8,0.141848
27:44.8,0.145061
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.14249
27:44.8,0.142169
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.141848
27:44.8,0.142169
27:44.8,0.141848
27:44.8,0.14474
27:44.8,0.143133
27:44.8,0.14474
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.141205
27:44.8,0.143776
27:44.8,0.143133
27:44.8,0.14474
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.143454
27:44.8,0.140884
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.14474
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.142169
27:44.8,0.143454
27:44.8,0.140884
27:44.8,0.143454
27:44.8,0.142812
27:44.8,0.145061
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.142169
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.143133
27:44.8,0.143133
27:44.8,0.14474
27:44.8,0.143133
27:44.8,0.14474
27:44.8,0.14249
27:44.8,0.14249
27:44.8,0.141205
27:44.8,0.14249
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.143454
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.141848
27:44.8,0.141848
27:44.8,0.143776
27:44.8,0.143776
27:44.8,0.145061
27:44.8,0.142812
27:44.8,0.143133
27:44.8,0.141848
27:44.8,0.143133
27:44.8,0.140562
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.14249
27:44.8,0.141205
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.143776
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.142812
27:44.8,0.141205
27:44.8,0.14249
27:44.8,0.143133
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.142169
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.142812
27:44.8,0.142169
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.14474
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.142169
27:44.8,0.14249
27:44.8,0.141526
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.143776
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.141205
27:44.8,0.143776
27:44.8,0.143454
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.141848
27:44.8,0.141848
27:44.8,0.141205
27:44.8,0.143133
27:44.8,0.143133
27:44.8,0.14474
27:44.8,0.143776
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.140562
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.143133
27:44.8,0.141526
27:44.8,0.142812
27:44.8,0.142169
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143133
27:44.8,0.141526
27:44.8,0.14249
27:44.8,0.141848
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.142169
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.141848
27:44.8,0.141526
27:44.8,0.144097
27:44.8,0.143776
27:44.8,0.144418
27:44.8,0.14249
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.143133
27:44.8,0.141205
27:44.8,0.143454
27:44.8,0.143454
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142169
27:44.8,0.143454
27:44.8,0.141526
27:44.8,0.142812
27:44.8,0.142812
27:44.8,0.145061
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.143454
27:44.8,0.141848
27:44.8,0.14249
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.141526
27:44.8,0.142169
27:44.8,0.141526
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.143454
27:44.8,0.141526
27:44.8,0.141848
27:44.8,0.141526
27:44.8,0.143454
27:44.8,0.143133
27:44.8,0.143454
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.141848
27:44.8,0.14249
27:44.8,0.140562
27:44.8,0.143776
27:44.8,0.143454
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.14474
27:44.8,0.14249
27:44.8,0.143133
27:44.8,0.141205
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.143454
27:44.8,0.141205
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.14249
27:44.8,0.141848
27:44.8,0.141848
27:44.8,0.142169
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.143454
27:44.8,0.141526
27:44.8,0.142169
27:44.8,0.141526
27:44.8,0.14474
27:44.8,0.143776
27:44.8,0.144097
27:44.8,0.143776
27:44.8,0.143454
27:44.8,0.141848
27:44.8,0.143133
27:44.8,0.141526
27:44.8,0.143133
27:44.8,0.143454
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.142812
27:44.8,0.140562
27:44.8,0.14249
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.14249
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.142812
27:44.8,0.140562
27:44.8,0.142169
27:44.8,0.14249
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.143133
27:44.8,0.143454
27:44.8,0.141526
27:44.8,0.142169
27:44.8,0.142169
27:44.8,0.144418
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.143776
27:44.8,0.140884
27:44.8,0.14249
27:44.8,0.14249
27:44.8,0.144097
27:44.8,0.143454
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.144097
27:44.8,0.142169
27:44.8,0.14249
27:44.8,0.142169
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.142169
27:44.8,0.142812
27:44.8,0.141526
27:44.8,0.143454
27:44.8,0.143454
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.143454
27:44.8,0.14249
27:44.8,0.142812
27:44.8,0.140884
27:44.8,0.143454
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.143776
27:44.8,0.14249
27:44.8,0.14249
27:44.8,0.141205
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.143454
27:44.8,0.14474
27:44.8,0.142812
27:44.8,0.14249
27:44.8,0.141205
27:44.8,0.143133
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.144418
27:44.8,0.142169
27:44.8,0.141848
27:44.8,0.141205
27:44.8,0.144418
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.143776
27:44.8,0.141848
27:44.8,0.14249
27:44.8,0.141526
27:44.8,0.142812
27:44.8,0.143133
27:44.8,0.144097
27:44.8,0.14249
27:44.8,0.143776
27:44.8,0.142812
27:44.8,0.14249
27:44.8,0.141526
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.144097
27:44.8,0.143133
27:44.8,0.143776
27:44.8,0.143133
27:44.8,0.142812
27:44.8,0.140884
27:44.8,0.142812
27:44.8,0.141848
